,prompt
2689,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i sure they. they have get to do ends not they. they put it together.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am sure they could. they have got to do in the end anyway have not they. so they can put it together."
2690,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
suppose it bad. i learn lot the worlds wars. yes that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
suppose it is bad. so i have learned a lot about the first world war. yes that is good."
2691,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and it. so christmas i think is popular. oh yes those right it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and it is. so flat after christmas i think is really popular. oh yes that is right it was."
2692,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you been to have you. well that. you have go the back you the doors any more.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you have not been to have you. well that was. you have to go round the back you cannot in the front doors any more."
2693,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
a miles. or from er. oh right yeah those.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
only a mile. or so from er. oh right yeah that is funny."
2694,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh gungie stuffs. what it. i do know it look.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh not that gungie stuff. what was it. i do not know it did not look like."
2695,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what mental home. plumsteads engineering it. plumsteads is village.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what the mental home. no plumstead engineering it was. plumstead is a village."
2696,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but when i used work. they over weight. weights bag cements.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but when i used to work for. they were well over weight. heavy weight bags of cement."
2697,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
water it supposed kilogram. they heavy they. yeah they yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
water it is supposed to be like kilogram. they are heavy are not they. yeah they are heavy yeah."
2698,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what that. what it. it is.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is that. what is it. it is afghani."
2699,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what he doing. i do know play bells. what he doing.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what was he doing. i do not know playing the bells. what was he doing."
2700,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
feel that. and her child. month.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
feeling like that. and her children are. months younger than mine."
2701,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it so me. so mean me. yes you a people.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is so mean of me. so mean of me. yes you are a bad person."
2702,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i going say sorts of suggest you need. therapy she offer. i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i was going to say that sort of suggests you do not need. whatever therapy she is offering. i am not."
2703,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i have pay. he. he not sign up i pay.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have not paid. he may not. he is not signed up i have not paid."
2704,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these youngsters. i i now. this you know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
these were youngsters. i probably would now. these were you know."
2705,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
onto turntables where they turned. and run trains. we have got loops down bottoms but these help passengers.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
onto the turntable where they are turned. and run around a train. we have got a continuous loop down the bottom but that does not help passengers."
2706,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i was i born here. you born. yeah where you born.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i was not i was born here. you were born here. yeah where were you born then."
2707,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well out area no and we move. house localities. his biggest influence far as speech is concerned will.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well not out of the area no and we have moved. houses in the locality. so your biggest influence as far as speech is concerned will would have been."
2708,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh it. no it erm. oh it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh is not it. no it is at erm. oh is it."
2709,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
is fan enough. er yes it. fans course.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is the fan enough. er yes it is. the fan is here of course."
2710,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i we survive. you have call in the calls cavalries. you have call in cavalries cavalry that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am sure we would still survive. you would have to call in the call in the cavalry. you would have to call in the cavalry de whichever cavalry that may be."
2711,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
dream dreams that achievable. not dream dreams that you manage. dreams that sank.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
dream a dream that is achievable. do not dream a dream that you cannot manage. that dream that sank."
2712,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cups coffees. there be nice wine. erm i have some water.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cup of coffee. there is some nice wine actually. erm i will just have some water."
2713,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well that sounds. in a very apartment. it one rooms.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well that sounds nice. in a very tiny little apartment. it is like one room."
2714,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it tell does say which which. does say accounts. tut yeah it is bit nuisances not it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it does not tell does not say which is which. does not say which account. tut yeah it is a bit of a nuisance is not it."
2715,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but english people well say. you think. no why they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but an english person might well say. do you think. no why would they."
2716,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah this is what i. maybe it. what i writing.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is like what i was. maybe it is. what i was writing about."
2717,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
how he look. bit. bit pale.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
how does he look. a bit pale. a bit pale."
2718,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i do you know about he sold his houses. he get price for it. so he bought four belfast.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
did i do you know about he is sold his house now in. he got quite a good price for it. so he is bought four in belfast now."
2719,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that could why. i ask mum bring hers. oh no homes i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that could be why. i could ask mum to bring hers round. oh no be home will i."
2720,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
on dates. if we. if you can put organises final bills.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
on this date. if we can. if you can just put like organise like a final bill."
2721,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
go houses look round. rock up. how it go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
go to a house look round. just rock up. how is it going."
2722,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
be fair i like lounges very much anyway. no but. it too cluttered.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
to be fair i do not like that lounge very much anyway. no but still. it is too cluttered."
2723,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that is. she very professional. yeah she carry on.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is true. she was very professional. yeah did she just carry on afterwards."
2724,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
um er all group report areas. which called. well it actually call and but it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
um er all these groups report into an area. which is called. well it is actually called and but it is basically."
2725,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
rather than started up. she seem quite informed really. she nurses and.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
rather than just started up again. she seems quite well sort of informed really. she is a nurse and."
2726,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she going get other two. this ones baptize and confirm in faith. and she refreshers really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she is going to get the other two. this one is baptized and confirmed in the catholic faith. and she just sort of a refresher really."
2727,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you are treasurer areas one then. no i the treasurers for areas. you need do anything.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you are not the treasurer for the area one then. no i am not the treasurer for the area. so you do not need to do anything."
2728,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i think. i do. it got tomatoes.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i do not think. i do not. it is got tomatoes."
2729,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah i could i eat garlic bread. it garlics. these salts was it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah i could not i could not eat that garlic bread. it was not the garlic. that was salt was not it."
2730,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i not remember the beer i had. that is signs. that good.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not actually remember the last beer i had. that is probably a good sign. that is really good."
2731,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they all. to planet. are they all.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they all are. to another planet. are not they all."
2732,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think i. i imagine you. in fires.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think i would. i imagine you probably would. in the fire."
2733,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you found authorhouses. it american then. american company base.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
have you found authorhouse. it was american then. american company based here."
2734,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos we drove. oh these cool. fill car up.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos we drove back. oh that is cool. filled the car up."
2735,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
some it they not pick. wastes. oh shame.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
some of it they did not pick. just a waste. oh such a shame."
2736,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah that. anything yeah it really matter. yeah but we are good.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is right. anything yeah it would not really matter. yeah but we are not very good."
2737,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
students who. yeah that. like you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
students who are straight as. yeah that is. like you were."
2738,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and safety condition terrible. but advantages disappear. mm mechanisations.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and the safety conditions are terrible. but that advantage is disappearing. mm with mechanisation like."
2739,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
there be problem distributions. like but that localise problem. and maybe we just get person erm place.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
there are other problems like distribution sure. like but that is a localised problem. and maybe we have just got people erm in the wrong places really."
2740,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah they funny. i did. i like one with erm.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah they are funny. i really did. i really like the one with the erm."
2741,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh lads one. that funny. these quite.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh the lads one. that was funny. that was quite funny."
2742,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
mm use it we make one loaves week weekends. it nice er like saturday lunches we whole loaf and. that lots.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
mm nice to use it we probably make one loaf a week at the weekend. it is nice for er like a saturday lunch we just a whole loaf and. that is a lot."
2743,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we have most erms. it woods barrels. it resonating.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we had the most amazing erm. is it the wood in the barrels. it is resonating."
2744,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
now that nasty. it like. ones ouzo their equivalent.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
now that is nasty. it is like. the one on from ouzo their equivalent to."
2745,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh be so silly. no you i get my car outside. we alright looks.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh do not be so silly. no you will not i have got my car outside. we are alright look."
2746,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you check. i check but at this moment. i was suppose water in.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
will you check. i will check but not at this precise not at this precise moment. i was suppose to water in there."
2747,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
alright. when you need have passports. when i need have what.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
alright good good. when do you need to have a passport. when do i need to have what."
2748,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we to spain with my passports. yes passport you need if you are go countries. no not jupiter.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we have already been to spain with my passport. yes so passport you need if you are going to a foreign country. no not like jupiter."
2749,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
um i thinking that it it twenty five. it living wages. it really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
um i was just thinking that it is under twenty five. it is not a living wage. it is not really."
2750,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
opus deis girls. and worst things it that she would just indoctrinate. she just brainwashed.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the opus dei girl. and the worst thing about it was that she would just been indoctrinated. she would just been brainwashed."
2751,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
who learnt their language. i wondered whether there brightnesses come him. keep him make him sleep.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
who have never learnt in their own language. i just wondered whether there might be too many brightness coming through for him. to keep him to make him sleep."
2752,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she already apply couples. she just have wait. hear.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she has already applied for a couple. she will just have to wait. to hear back."
2753,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
those plan. it. what that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is forward planning. is not it. what was that for."
2754,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i exterminate. i android phone. and you have go android markets and i what.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i will exterminate. i am an android phone. and you have to go to the android market and i was just what."
2755,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it gone. it saved somewhere. i work out how stop calls.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is gone. it is saved somewhere. i cannot work out how to stop a call."
2756,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i imagine. oh well it make happy mummy. that probably important.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i can imagine. oh well it makes for a less stressed happy mummy. that is probably important."
2757,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this be nice. your brothers older or you. three years.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that would be nice. are your brothers older or younger than you. three years older."
2758,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no there is powders. it probably powder not it. oh right.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no there is kind of a powder. it is probably an explosive powder is not it. oh right great."
2759,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
do neil oliver. he loved. maybe they scottish make scottish.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
could have done with neil oliver. he is have loved. maybe they scottish made a very scottish."
2760,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
going what. you could go days. bits different.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
going for what. you could go somewhere for the day. somewhere a bit different."
2761,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what it the. go the funfairs the. i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is it the there. go to the funfair at the. i do not know."
2762,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what it called. i do know. i not know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is it called. i do not know. i do not know."
2763,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no guildhall. this one london. what i mean.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no not guildhall. that is the one in london. what do i mean."
2764,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
be bit trying sometimes but. those is person. them students can be pains.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
can be a bit trying sometimes but. that is with all people. them the students can be a pain."
2765,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i mention the student. but they. this is cos you diplomatic.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i did not mention the students. but they can be. that is cos you are being diplomatic."
2766,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
stop me hate the shift. shifts i too bad nights. too.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
still does not stop me hating the shifts. shifts i am not too bad about nights. not too bad."
2767,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it awful. try think things i hate. like dog.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is awful. trying to think of other things i hate. do not like dogs."
2768,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
do you. these is. stand it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do you not. that is weird. cannot stand it."
2769,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so it of learners time just swarm. sometimes you three or four them. see i mind learner drivers.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so it is full of learners all the time just like swarming. sometimes you can be behind about three or four of them. see i do not actually mind learner drivers."
2770,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i have never tower. do it good. oh and light.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have never been up the tower. should do it is good. oh and the lights are good."
2771,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but it. what word. prevalent i know but anyway.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but it is. what is the word. prevalent i do not know but anyway."
2772,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
have little. at ends of corridor. she was.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
had a little. at the end of the corridor. she was lovely."
2773,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i say you go over schools as last resort. yeah there. as last resorts.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i said you could always go over to school as a last resort. yeah over there. as a last resort."
2774,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he probably run erms. what things tree. high ropes.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he probably would could run the erm. what is the thing in trees. the high ropes."
2775,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
is town it big town. i have idea. you never towns.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is the town is it a big town. i have no idea. have you never been down to the town."
2776,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i think she their ages. yeah she. same sort age.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i think she is about our age. yeah is she. same sort of age."
2777,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i remember either. we not remember. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i cannot remember either. we cannot always remember. it is jp."
2778,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she do western role. and sexes and cities. mm well she turns out.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
did not she do some western roles. and some sex and the city. mm well she turns out to be."
2779,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you think. bench this. we sit here you think.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do you think. whose bench is this. can we sit here do you think."
2780,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but you a singer you. yes i. i play thing like bazooms.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but you are a singer are not you. yes i am. i only play silly things like bazooms."
2781,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she very nice i known her. and it is that i like define. things like that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she is very nice i have known her for. and it is almost that i do not like to be defined. by things like that anyway."
2782,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah june and july year was a. times. er when i got that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah june and july this year was a. was a time of. er when i first got into that."
2783,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
who famous he. what thomas arne. i not know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
who is famous because he. what is thomas arne famous for. i do not know."
2784,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i care. i think you. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i could not care less. i did not think you could. is not it gorgeous."
2785,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it fine. it mums it fine it fine. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is fine. it is mum it is fine honestly it is fine. it is fine."
2786,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that right. lane snows glisten. baubles are so.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is right. in the lane snow is glistening. these baubles are so heavy."
2787,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no it. it set twenty one degree. well radiators are.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no it is alright. it is set at twenty one degrees. well the radiators are not on."
2788,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well that handy. in way. you manage alright when electric and water off.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well that is handy then. in some ways. did you manage alright when all the electric and water was off."
2789,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is peculiar it. yeah i think it really. that cyrillic er alphabet is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is peculiar is not it. yeah i think it is really cool. that is the cyrillic er alphabet is not it."
2790,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh then they have serious. no they do. do they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh then they have to be serious. no they do not. do not they."
2791,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah but these military that. that not officialdom. the military any.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah but that was not military that was not. that was not officialdom. the military of any."
2792,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and the trusts just. yeah it social it it. you know same person days.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and then the trust is just. yeah it is social it is friendly it is. you know the same people every day."
2793,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah we see. you need new duvets. if you mind.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah we will see. did you need a new duvet. if you do not mind."
2794,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
of our erm chocolate. it it. it kind of needs bits milk it make it bit.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
more of your erm white chocolate. it is strange is not it. it kind of needs a bit more milk in it to make it a bit."
2795,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you want me stir it. why do not you ask milk mix it with. no it alright.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do you want me to stir it. why do not you ask for some hot milk to mix it with. no it is alright."
2796,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh these bit sad it. dads and mums scooter. bits sad it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh that is a bit sad is it not. dad and a mum on a scooter. bit sad is it not."
2797,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that alright inheritance. turn your noses up that. what that look.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that would be alright in inheritance. not turn your nose up at that. what does that look like."
2798,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what one. guys red cap on he got a ponytails that looks. cock doodle doos.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is that one. that guy with the red cap on he is got a ponytail that looks like. cock a doodle doo."
2799,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it weird it. they sell that blueberries fanta over here but uk. mm it is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is weird is not it. they sell that blue blueberry fanta over here but not in the uk. mm it is it is strange."
2800,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you bring them. no they car. what his names.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
have you not brought them. no they are in the car. what is your name."
2801,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
let me have look watch and i tell you. well put your arms on it comfier. quarters three.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
let me have a look at the watch and i will tell you. well put your arm back on there it was comfier. quarter past three."
2802,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you have tattoos. well well have sundaes. i not want sundae.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you are not having a tattoo. well have a well have a sundae. i do not want a sundae."
2803,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you think it. spain it. better you think it better further or.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
do you think it. spain could not it. better do you think it is better further south or."
2804,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we chosen. that bits. one or ones.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so we have chosen between. that is a bit. this one or this one."
2805,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well they live spain whiles she do not they. she abused suns. i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well they lived in spain for a while did not she did not they. she must have abused the sun. i do not know."
2806,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you go work tomorrow you. afternoon i am go yeah. yeah time that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you are going to work tomorrow are not you. in the afternoon i am going to yeah. yeah what time is that."
2807,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that very. it it. it chinese.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this is very tasty. is it is not it. it is chinese."
2808,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i really know. mm that would as well. mind you if she having move there erm.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i really do not know. mm that would be awful for as well. mind you if she is having to move to down there to erm."
2809,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this these these. it very small it er well one bedroom. they are.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is that is that. it is a very small it is only like er well a one bedroom flat. they are small."
2810,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
working five and going to friend so. she erm. she work.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is working until five and going to friends afterwards so. is she erm. she is working."
2811,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we not paid one unfortunately. these see whether we enough. well see if like our like if recording setups enough.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we do not get paid for this one unfortunately. is this to see whether we are good enough. well to see if the like our like if the recording setup is good enough."
2812,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh drink that. do need drinks. just get angry have foods.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh drink for that. do not need a drink. just get angry about not having food."
